address_id,line1,ward,district,city,country,postal_code
ADDR-000048,So 33 Ngach Testbed,Xa Synthetic,Quan Mock 2,Tinh Mo Phong,VN,86402
ADDR-000049,So 33 Ngach Testbed,Phuong Gia Lap,Quan Mock 1,Tinh Mo Phong,VN,76131
ADDR-000050,So 12 Duong Gia,Xa Du Lieu,Quan Test 3,Tinh Mo Phong,VN,57263
ADDR-000051,So 15 Duong Sandbox,Phuong Demo,Quan Mock 1,Thanh pho Demo,VN,15346
ADDR-000052,So 45 Pho Ao,Phuong Sandbox,Quan Test 3,Thanh pho Gia,VN,53077
ADDR-000053,So 33 Ngach Testbed,Xa Du Lieu,Quan Mock 2,Thanh pho Gia,VN,94363
ADDR-000054,So 45 Pho Ao,Phuong Thu Nghiem,Quan Test 3,Thanh pho Demo,VN,50645
ADDR-000055,So 15 Duong Sandbox,Phuong Sandbox,Quan Mock 2,Thanh pho Demo,VN,79111
ADDR-000056,So 33 Ngach Testbed,Phuong Thu Nghiem,Huyen Sandbox,Tinh Mo Phong,VN,86751
ADDR-000057,So 33 Ngach Testbed,Phuong Thu Nghiem,Quan Mock 1,Thanh pho Demo,VN,80041
ADDR-000058,So 99 Hem Mock,Phuong Gia Lap,Quan Mock 2,Thanh pho Demo,VN,95016
ADDR-000059,So 3 Duong Synthetic,Phuong Demo,Quan Mock 1,Tinh Mo Phong,VN,11032
ADDR-000060,So 3 Duong Synthetic,Phuong Demo,Quan Test 3,Thanh pho Gia,VN,74852
ADDR-000061,So 21 Pho Fictitious,Xa Synthetic,Quan Mock 2,Thanh pho Ao,VN,47022
ADDR-000062,So 12 Duong Gia,Phuong Mo Phong,Huyen Sandbox,Thanh pho Demo,VN,24938
ADDR-000063,So 33 Ngach Testbed,Phuong Mo Phong,Huyen Demo,Thanh pho Gia,VN,76493
ADDR-000064,So 12 Duong Gia,Phuong Sandbox,Quan Test 3,Tinh Mo Phong,VN,47585
ADDR-000065,So 12 Duong Gia,Phuong Mo Phong,Quan Mock 1,Tinh Mo Phong,VN,51262
ADDR-000066,So 7 Ngach Demo,Phuong Demo,Quan Test 3,Thanh pho Ao,VN,81358
ADDR-000067,So 7 Ngach Demo,Phuong Gia Lap,Quan Mock 1,Tinh Mo Phong,VN,41632
ADDR-000068,So 60 Pho Placeholder,Phuong Sandbox,Huyen Sandbox,Tinh Mo Phong,VN,47294
ADDR-000069,So 60 Pho Placeholder,Phuong Demo,Huyen Demo,Thanh pho Demo,VN,44562
ADDR-000070,So 33 Ngach Testbed,Phuong Demo,Quan Mock 1,Thanh pho Gia,VN,58442
ADDR-000071,So 12 Duong Gia,Phuong Mo Phong,Huyen Demo,Tinh Mo Phong,VN,18855
ADDR-000072,So 88 Lo Demo Data,Phuong Sandbox,Quan Test 3,Tinh Mo Phong,VN,80909
ADDR-000073,So 45 Pho Ao,Xa Du Lieu,Quan Mock 1,Tinh Mo Phong,VN,36975
ADDR-000074,So 3 Duong Synthetic,Phuong Mo Phong,Quan Mock 2,Tinh Mo Phong,VN,63382
ADDR-000075,So 88 Lo Demo Data,Phuong Mo Phong,Huyen Sandbox,Thanh pho Gia,VN,51724
ADDR-000076,So 7 Ngach Demo,Xa Mo Hinh,Huyen Demo,Thanh pho Ao,VN,42133
ADDR-000077,So 60 Pho Placeholder,Phuong Mo Phong,Huyen Sandbox,Thanh pho Gia,VN,61813
ADDR-000078,So 12 Duong Gia,Xa Synthetic,Quan Mock 1,Thanh pho Gia,VN,98172
ADDR-000079,So 12 Duong Gia,Phuong Mo Phong,Quan Test 3,Tinh Mo Phong,VN,35295
ADDR-000080,So 88 Lo Demo Data,Phuong Mo Phong,Huyen Sandbox,Thanh pho Demo,VN,32344
ADDR-000081,So 60 Pho Placeholder,Xa Synthetic,Quan Mock 1,Thanh pho Demo,VN,94012
ADDR-000082,So 99 Hem Mock,Phuong Demo,Quan Mock 1,Thanh pho Ao,VN,35805
ADDR-000083,So 33 Ngach Testbed,Xa Synthetic,Quan Mock 1,Thanh pho Demo,VN,85882
ADDR-000084,So 33 Ngach Testbed,Phuong Demo,Quan Mock 2,Thanh pho Gia,VN,69429
ADDR-000085,So 33 Ngach Testbed,Xa Synthetic,Quan Mock 2,Thanh pho Ao,VN,28045
ADDR-000086,So 60 Pho Placeholder,Phuong Gia Lap,Quan Test 3,Tinh Mo Phong,VN,35612
ADDR-000087,So 33 Ngach Testbed,Phuong Sandbox,Quan Mock 2,Thanh pho Demo,VN,53452
ADDR-000088,So 7 Ngach Demo,Xa Mo Hinh,Huyen Demo,Thanh pho Ao,VN,33401
ADDR-000089,So 45 Pho Ao,Phuong Mo Phong,Quan Mock 2,Thanh pho Ao,VN,34856
ADDR-000090,So 33 Ngach Testbed,Xa Synthetic,Quan Mock 2,Thanh pho Gia,VN,71691
ADDR-000091,So 12 Duong Gia,Phuong Sandbox,Quan Mock 2,Thanh pho Ao,VN,69255
ADDR-000092,So 88 Lo Demo Data,Phuong Demo,Huyen Sandbox,Thanh pho Demo,VN,51552
ADDR-000093,So 21 Pho Fictitious,Phuong Thu Nghiem,Huyen Sandbox,Tinh Mo Phong,VN,34987
ADDR-000094,So 15 Duong Sandbox,Xa Mo Hinh,Quan Mock 1,Tinh Mo Phong,VN,34621
ADDR-000095,So 21 Pho Fictitious,Phuong Gia Lap,Huyen Demo,Thanh pho Gia,VN,28236
ADDR-000096,So 7 Ngach Demo,Phuong Gia Lap,Huyen Demo,Thanh pho Demo,VN,13517
ADDR-000097,So 88 Lo Demo Data,Phuong Sandbox,Quan Mock 2,Thanh pho Ao,VN,50600
ADDR-000098,So 12 Duong Gia,Phuong Mo Phong,Huyen Sandbox,Thanh pho Demo,VN,55453
ADDR-000099,So 99 Hem Mock,Xa Synthetic,Quan Test 3,Thanh pho Gia,VN,58330
ADDR-000100,So 45 Pho Ao,Xa Du Lieu,Huyen Sandbox,Thanh pho Demo,VN,73538
ADDR-000101,So 99 Hem Mock,Phuong Gia Lap,Huyen Demo,Thanh pho Ao,VN,67941
ADDR-000102,So 45 Pho Ao,Phuong Sandbox,Quan Mock 1,Thanh pho Ao,VN,31895
ADDR-000103,So 15 Duong Sandbox,Phuong Sandbox,Quan Mock 1,Tinh Mo Phong,VN,95189
ADDR-000104,So 21 Pho Fictitious,Xa Synthetic,Quan Mock 1,Tinh Mo Phong,VN,12313
ADDR-000105,So 88 Lo Demo Data,Phuong Sandbox,Quan Mock 1,Thanh pho Ao,VN,88390
ADDR-000106,So 45 Pho Ao,Xa Synthetic,Quan Mock 1,Thanh pho Ao,VN,16829
ADDR-000107,So 99 Hem Mock,Phuong Thu Nghiem,Quan Test 3,Thanh pho Gia,VN,57131
ADDR-000108,So 15 Duong Sandbox,Phuong Thu Nghiem,Quan Test 3,Thanh pho Demo,VN,19429
ADDR-000109,So 45 Pho Ao,Phuong Demo,Huyen Demo,Thanh pho Ao,VN,35457
ADDR-000110,So 7 Ngach Demo,Phuong Thu Nghiem,Quan Mock 2,Thanh pho Ao,VN,11617
ADDR-000111,So 21 Pho Fictitious,Xa Du Lieu,Huyen Sandbox,Thanh pho Ao,VN,62162
ADDR-000112,So 33 Ngach Testbed,Phuong Sandbox,Quan Mock 2,Thanh pho Ao,VN,17730
ADDR-000113,So 12 Duong Gia,Phuong Gia Lap,Quan Mock 1,Thanh pho Ao,VN,78463
ADDR-000114,So 21 Pho Fictitious,Xa Mo Hinh,Quan Mock 1,Thanh pho Gia,VN,69889
ADDR-000115,So 21 Pho Fictitious,Xa Synthetic,Quan Mock 2,Thanh pho Demo,VN,62450
ADDR-000116,So 15 Duong Sandbox,Xa Du Lieu,Quan Test 3,Thanh pho Gia,VN,73198
ADDR-000117,So 15 Duong Sandbox,Phuong Mo Phong,Huyen Sandbox,Thanh pho Ao,VN,85493
ADDR-000118,So 21 Pho Fictitious,Phuong Demo,Huyen Demo,Thanh pho Gia,VN,50737
ADDR-000119,So 33 Ngach Testbed,Phuong Thu Nghiem,Quan Mock 2,Thanh pho Gia,VN,88496
ADDR-000120,So 7 Ngach Demo,Phuong Gia Lap,Huyen Demo,Thanh pho Demo,VN,54225
ADDR-000121,So 7 Ngach Demo,Phuong Sandbox,Quan Mock 2,Thanh pho Ao,VN,95359
ADDR-000122,So 88 Lo Demo Data,Xa Synthetic,Huyen Sandbox,Thanh pho Ao,VN,95563
ADDR-000123,So 33 Ngach Testbed,Xa Du Lieu,Quan Test 3,Thanh pho Demo,VN,94488
ADDR-000124,So 99 Hem Mock,Phuong Mo Phong,Quan Mock 2,Thanh pho Ao,VN,10697
ADDR-000125,So 60 Pho Placeholder,Phuong Thu Nghiem,Huyen Demo,Thanh pho Demo,VN,28331
ADDR-000126,So 88 Lo Demo Data,Phuong Mo Phong,Huyen Demo,Tinh Mo Phong,VN,44167
ADDR-000127,So 33 Ngach Testbed,Phuong Sandbox,Quan Mock 1,Tinh Mo Phong,VN,26334
ADDR-000128,So 3 Duong Synthetic,Xa Synthetic,Quan Mock 1,Tinh Mo Phong,VN,84993
ADDR-000129,So 7 Ngach Demo,Xa Du Lieu,Quan Test 3,Tinh Mo Phong,VN,16929
ADDR-000130,So 45 Pho Ao,Phuong Mo Phong,Quan Mock 2,Thanh pho Gia,VN,31641
ADDR-000131,So 21 Pho Fictitious,Phuong Sandbox,Huyen Demo,Thanh pho Gia,VN,89609
ADDR-000132,So 3 Duong Synthetic,Phuong Thu Nghiem,Quan Test 3,Tinh Mo Phong,VN,44701
ADDR-000133,So 15 Duong Sandbox,Phuong Sandbox,Quan Mock 1,Thanh pho Ao,VN,63833
ADDR-000134,So 12 Duong Gia,Xa Mo Hinh,Quan Mock 2,Thanh pho Gia,VN,34846
ADDR-000135,So 88 Lo Demo Data,Xa Du Lieu,Quan Mock 1,Thanh pho Gia,VN,12772
ADDR-000136,So 45 Pho Ao,Phuong Thu Nghiem,Quan Mock 2,Thanh pho Demo,VN,36006
ADDR-000137,So 99 Hem Mock,Phuong Sandbox,Huyen Sandbox,Thanh pho Demo,VN,72809
ADDR-000138,So 15 Duong Sandbox,Xa Mo Hinh,Huyen Sandbox,Tinh Mo Phong,VN,24618
ADDR-000139,So 99 Hem Mock,Xa Synthetic,Quan Mock 1,Thanh pho Gia,VN,81641
ADDR-000140,So 60 Pho Placeholder,Phuong Gia Lap,Quan Mock 2,Tinh Mo Phong,VN,26899
ADDR-000141,So 60 Pho Placeholder,Xa Synthetic,Huyen Demo,Tinh Mo Phong,VN,49768
ADDR-000142,So 21 Pho Fictitious,Xa Mo Hinh,Quan Mock 1,Tinh Mo Phong,VN,27512
ADDR-000143,So 15 Duong Sandbox,Phuong Sandbox,Huyen Sandbox,Tinh Mo Phong,VN,36728
ADDR-000144,So 88 Lo Demo Data,Phuong Sandbox,Quan Mock 1,Thanh pho Ao,VN,19443
ADDR-000145,So 12 Duong Gia,Phuong Gia Lap,Quan Mock 1,Tinh Mo Phong,VN,21136
ADDR-000146,So 99 Hem Mock,Phuong Gia Lap,Quan Mock 2,Thanh pho Demo,VN,60512
ADDR-000147,So 7 Ngach Demo,Phuong Demo,Huyen Demo,Tinh Mo Phong,VN,88592
ADDR-000148,So 88 Lo Demo Data,Xa Synthetic,Quan Test 3,Thanh pho Gia,VN,24832
ADDR-000149,So 60 Pho Placeholder,Xa Synthetic,Huyen Demo,Thanh pho Ao,VN,60413
ADDR-000150,So 60 Pho Placeholder,Phuong Demo,Quan Mock 2,Thanh pho Ao,VN,39437
ADDR-000151,So 88 Lo Demo Data,Xa Du Lieu,Quan Mock 2,Thanh pho Demo,VN,28364
ADDR-000152,So 3 Duong Synthetic,Phuong Thu Nghiem,Quan Mock 2,Thanh pho Demo,VN,30552
ADDR-000153,So 88 Lo Demo Data,Phuong Sandbox,Huyen Sandbox,Thanh pho Gia,VN,23683
ADDR-000154,So 33 Ngach Testbed,Phuong Gia Lap,Huyen Demo,Thanh pho Demo,VN,15987
ADDR-000155,So 12 Duong Gia,Phuong Demo,Quan Test 3,Thanh pho Gia,VN,48026
ADDR-000156,So 12 Duong Gia,Phuong Demo,Quan Mock 2,Thanh pho Ao,VN,90004
ADDR-000157,So 15 Duong Sandbox,Phuong Thu Nghiem,Quan Test 3,Tinh Mo Phong,VN,67939
ADDR-000158,So 12 Duong Gia,Phuong Gia Lap,Quan Mock 2,Thanh pho Gia,VN,30258
ADDR-000159,So 21 Pho Fictitious,Phuong Mo Phong,Huyen Sandbox,Tinh Mo Phong,VN,89215
ADDR-000160,So 12 Duong Gia,Phuong Demo,Huyen Sandbox,Tinh Mo Phong,VN,93320
ADDR-000161,So 88 Lo Demo Data,Xa Synthetic,Quan Test 3,Thanh pho Ao,VN,67250
ADDR-000162,So 15 Duong Sandbox,Xa Du Lieu,Quan Test 3,Thanh pho Gia,VN,14782
ADDR-000163,So 88 Lo Demo Data,Xa Mo Hinh,Huyen Sandbox,Thanh pho Demo,VN,78572
ADDR-000164,So 45 Pho Ao,Phuong Mo Phong,Quan Mock 1,Thanh pho Demo,VN,23588
ADDR-000165,So 88 Lo Demo Data,Phuong Demo,Quan Mock 1,Tinh Mo Phong,VN,39351
ADDR-000166,So 99 Hem Mock,Phuong Demo,Quan Mock 1,Thanh pho Demo,VN,26891
ADDR-000167,So 33 Ngach Testbed,Xa Du Lieu,Quan Mock 1,Thanh pho Gia,VN,84946
ADDR-000168,So 45 Pho Ao,Xa Synthetic,Huyen Demo,Thanh pho Gia,VN,24034
ADDR-000169,So 7 Ngach Demo,Phuong Thu Nghiem,Quan Mock 1,Thanh pho Ao,VN,96463
ADDR-000170,So 45 Pho Ao,Phuong Sandbox,Quan Mock 1,Tinh Mo Phong,VN,28161
ADDR-000171,So 3 Duong Synthetic,Phuong Demo,Quan Mock 1,Tinh Mo Phong,VN,31712
ADDR-000172,So 60 Pho Placeholder,Phuong Thu Nghiem,Huyen Demo,Thanh pho Demo,VN,48466
ADDR-000173,So 21 Pho Fictitious,Phuong Sandbox,Huyen Demo,Thanh pho Gia,VN,60540
ADDR-000174,So 45 Pho Ao,Xa Synthetic,Quan Mock 2,Tinh Mo Phong,VN,87485
ADDR-000175,So 3 Duong Synthetic,Xa Mo Hinh,Huyen Sandbox,Thanh pho Demo,VN,20455
ADDR-000176,So 99 Hem Mock,Xa Mo Hinh,Huyen Demo,Thanh pho Gia,VN,16880
ADDR-000177,So 60 Pho Placeholder,Phuong Sandbox,Huyen Demo,Thanh pho Demo,VN,96673
ADDR-000178,So 88 Lo Demo Data,Phuong Sandbox,Quan Test 3,Thanh pho Gia,VN,54623
ADDR-000179,So 7 Ngach Demo,Phuong Thu Nghiem,Huyen Demo,Thanh pho Gia,VN,29305
ADDR-000180,So 21 Pho Fictitious,Phuong Mo Phong,Quan Mock 1,Thanh pho Demo,VN,65389
ADDR-000181,So 3 Duong Synthetic,Phuong Sandbox,Huyen Demo,Thanh pho Demo,VN,61368
ADDR-000182,So 99 Hem Mock,Xa Du Lieu,Huyen Sandbox,Thanh pho Gia,VN,31842
ADDR-000183,So 12 Duong Gia,Phuong Gia Lap,Huyen Demo,Tinh Mo Phong,VN,39922
ADDR-000184,So 33 Ngach Testbed,Xa Synthetic,Quan Mock 1,Tinh Mo Phong,VN,99887
ADDR-000185,So 60 Pho Placeholder,Xa Synthetic,Huyen Demo,Thanh pho Ao,VN,44774
ADDR-000186,So 60 Pho Placeholder,Phuong Thu Nghiem,Huyen Demo,Thanh pho Ao,VN,49799
ADDR-000187,So 60 Pho Placeholder,Xa Du Lieu,Quan Mock 1,Tinh Mo Phong,VN,28696
ADDR-000188,So 99 Hem Mock,Phuong Thu Nghiem,Quan Mock 2,Thanh pho Demo,VN,82651
ADDR-000189,So 12 Duong Gia,Phuong Demo,Quan Mock 1,Thanh pho Ao,VN,90636
ADDR-000190,So 3 Duong Synthetic,Xa Synthetic,Huyen Sandbox,Thanh pho Gia,VN,25917
ADDR-000191,So 60 Pho Placeholder,Phuong Mo Phong,Quan Mock 2,Thanh pho Ao,VN,23579
ADDR-000192,So 99 Hem Mock,Xa Du Lieu,Huyen Demo,Thanh pho Ao,VN,72411
ADDR-000193,So 33 Ngach Testbed,Xa Synthetic,Quan Mock 1,Tinh Mo Phong,VN,28258
ADDR-000194,So 3 Duong Synthetic,Phuong Thu Nghiem,Quan Test 3,Thanh pho Gia,VN,94559
ADDR-000195,So 15 Duong Sandbox,Xa Mo Hinh,Quan Mock 2,Thanh pho Ao,VN,23819
ADDR-000196,So 99 Hem Mock,Phuong Sandbox,Huyen Sandbox,Thanh pho Demo,VN,67345
ADDR-000197,So 60 Pho Placeholder,Xa Synthetic,Quan Mock 2,Thanh pho Ao,VN,84759
ADDR-000198,So 3 Duong Synthetic,Phuong Thu Nghiem,Quan Test 3,Tinh Mo Phong,VN,18906
ADDR-000199,So 12 Duong Gia,Xa Du Lieu,Quan Mock 2,Tinh Mo Phong,VN,96944
ADDR-000200,So 3 Duong Synthetic,Phuong Sandbox,Quan Mock 1,Thanh pho Gia,VN,13454
ADDR-000201,So 99 Hem Mock,Phuong Demo,Huyen Demo,Thanh pho Gia,VN,11952
ADDR-000202,So 15 Duong Sandbox,Xa Mo Hinh,Quan Mock 2,Thanh pho Demo,VN,49677
ADDR-000203,So 99 Hem Mock,Phuong Mo Phong,Huyen Sandbox,Thanh pho Ao,VN,14701
ADDR-000204,So 88 Lo Demo Data,Phuong Gia Lap,Huyen Sandbox,Thanh pho Gia,VN,80981
ADDR-000205,So 15 Duong Sandbox,Phuong Demo,Huyen Demo,Tinh Mo Phong,VN,31305
ADDR-000206,So 45 Pho Ao,Phuong Thu Nghiem,Huyen Demo,Tinh Mo Phong,VN,44670
ADDR-000207,So 15 Duong Sandbox,Xa Du Lieu,Quan Mock 2,Thanh pho Ao,VN,29254
ADDR-000208,So 99 Hem Mock,Xa Mo Hinh,Quan Mock 1,Thanh pho Gia,VN,76445
ADDR-000209,So 12 Duong Gia,Xa Du Lieu,Huyen Sandbox,Thanh pho Gia,VN,48125
ADDR-000210,So 33 Ngach Testbed,Phuong Demo,Huyen Demo,Thanh pho Gia,VN,79174
ADDR-000211,So 88 Lo Demo Data,Xa Mo Hinh,Quan Mock 1,Tinh Mo Phong,VN,83460
ADDR-000212,So 88 Lo Demo Data,Xa Du Lieu,Huyen Demo,Thanh pho Demo,VN,92920
ADDR-000213,So 60 Pho Placeholder,Phuong Sandbox,Huyen Sandbox,Thanh pho Gia,VN,54146
ADDR-000214,So 21 Pho Fictitious,Xa Synthetic,Quan Test 3,Tinh Mo Phong,VN,67486
ADDR-000215,So 3 Duong Synthetic,Xa Mo Hinh,Quan Mock 1,Tinh Mo Phong,VN,47328
ADDR-000216,So 3 Duong Synthetic,Phuong Demo,Quan Test 3,Thanh pho Ao,VN,69486
ADDR-000217,So 45 Pho Ao,Xa Mo Hinh,Quan Mock 1,Thanh pho Demo,VN,23164
ADDR-000218,So 45 Pho Ao,Phuong Sandbox,Quan Mock 1,Thanh pho Demo,VN,18816
ADDR-000219,So 88 Lo Demo Data,Xa Mo Hinh,Huyen Demo,Thanh pho Demo,VN,48720
ADDR-000220,So 99 Hem Mock,Phuong Gia Lap,Huyen Sandbox,Tinh Mo Phong,VN,76517
ADDR-000221,So 33 Ngach Testbed,Xa Du Lieu,Huyen Demo,Thanh pho Ao,VN,91957
ADDR-000222,So 88 Lo Demo Data,Phuong Sandbox,Huyen Sandbox,Thanh pho Ao,VN,59005
ADDR-000223,So 88 Lo Demo Data,Phuong Demo,Quan Mock 2,Tinh Mo Phong,VN,21130
ADDR-000224,So 12 Duong Gia,Phuong Thu Nghiem,Huyen Sandbox,Thanh pho Demo,VN,36563
ADDR-000225,So 45 Pho Ao,Xa Synthetic,Quan Mock 2,Thanh pho Gia,VN,62081
ADDR-000226,So 99 Hem Mock,Phuong Gia Lap,Quan Test 3,Tinh Mo Phong,VN,63983
ADDR-000227,So 45 Pho Ao,Phuong Demo,Quan Mock 2,Thanh pho Gia,VN,31245
ADDR-000228,So 3 Duong Synthetic,Xa Mo Hinh,Huyen Demo,Tinh Mo Phong,VN,83899
ADDR-000229,So 15 Duong Sandbox,Phuong Mo Phong,Quan Mock 1,Tinh Mo Phong,VN,34598
ADDR-000230,So 33 Ngach Testbed,Phuong Demo,Huyen Sandbox,Thanh pho Ao,VN,20154
ADDR-000231,So 7 Ngach Demo,Xa Synthetic,Quan Mock 1,Tinh Mo Phong,VN,20195
ADDR-000232,So 7 Ngach Demo,Phuong Thu Nghiem,Quan Mock 2,Thanh pho Demo,VN,83464
ADDR-000233,So 12 Duong Gia,Phuong Thu Nghiem,Huyen Sandbox,Thanh pho Gia,VN,58348
ADDR-000234,So 60 Pho Placeholder,Phuong Mo Phong,Quan Mock 1,Tinh Mo Phong,VN,13779
ADDR-000235,So 33 Ngach Testbed,Xa Mo Hinh,Huyen Demo,Thanh pho Gia,VN,97096
ADDR-000236,So 45 Pho Ao,Xa Mo Hinh,Quan Test 3,Thanh pho Gia,VN,84211
ADDR-000237,So 12 Duong Gia,Phuong Demo,Huyen Sandbox,Thanh pho Ao,VN,46564
ADDR-000238,So 60 Pho Placeholder,Phuong Sandbox,Quan Test 3,Tinh Mo Phong,VN,94673
ADDR-000239,So 12 Duong Gia,Xa Mo Hinh,Quan Mock 1,Tinh Mo Phong,VN,11035
ADDR-000240,So 15 Duong Sandbox,Phuong Demo,Huyen Sandbox,Thanh pho Gia,VN,40710
ADDR-000241,So 21 Pho Fictitious,Xa Synthetic,Quan Test 3,Thanh pho Ao,VN,70370
ADDR-000242,So 99 Hem Mock,Xa Synthetic,Quan Test 3,Thanh pho Demo,VN,41816
ADDR-000243,So 12 Duong Gia,Phuong Demo,Quan Mock 1,Thanh pho Ao,VN,28098
ADDR-000244,So 45 Pho Ao,Xa Synthetic,Quan Mock 1,Tinh Mo Phong,VN,99923
ADDR-000245,So 15 Duong Sandbox,Xa Mo Hinh,Quan Test 3,Tinh Mo Phong,VN,80126
ADDR-000246,So 12 Duong Gia,Xa Mo Hinh,Huyen Sandbox,Thanh pho Demo,VN,54231
ADDR-000247,So 15 Duong Sandbox,Phuong Demo,Huyen Sandbox,Tinh Mo Phong,VN,70035
ADDR-000248,So 3 Duong Synthetic,Phuong Mo Phong,Quan Test 3,Thanh pho Gia,VN,35119
ADDR-000249,So 88 Lo Demo Data,Phuong Sandbox,Quan Mock 1,Thanh pho Demo,VN,96142
ADDR-000250,So 21 Pho Fictitious,Xa Mo Hinh,Huyen Sandbox,Tinh Mo Phong,VN,68246
ADDR-000251,So 15 Duong Sandbox,Xa Synthetic,Quan Mock 1,Thanh pho Ao,VN,91902
