company_id,legal_name,registration_number,incorporation_date,industry_code,registered_address_id,expected_monthly_turnover,expected_cross_border,expected_countries,declared_source_of_funds,account_purpose,representative_customer_id,kyc_risk_level
COMP-000025,Cong ty CP Nhat Quang Sandbox,DN5525959025,2021-02-13,4690,ADDR-002025,13138713159,true,"[""VN"", ""SG"", ""CN"", ""DE""]",Shareholder capital,General corporate,CUST-000466,MEDIUM
COMP-000026,Doanh nghiep Tu nhan Thinh Vuong Mock,DN9369003357,2013-06-25,6202,ADDR-002026,8403624138,true,"[""VN"", ""SG"", ""CN"", ""US"", ""JP"", ""KR""]",Investment income,Trade settlement,CUST-001296,MEDIUM
COMP-000027,Cong ty CP Red River Demo,DN9202164458,2019-01-15,8299,ADDR-002027,21628534498,false,"[""VN""]",Business revenue,Operating expenses,CUST-001271,MEDIUM
COMP-000028,Cong ty MTV Song Hong Demo,DN5156808294,2013-01-10,5610,ADDR-002028,28219699985,false,"[""VN""]",Business revenue,General corporate,CUST-000579,MEDIUM
COMP-000029,Doanh nghiep Tu nhan Tan Phat Demo,DN1986800334,2025-10-19,7020,ADDR-002029,389240788,true,"[""VN"", ""CN"", ""US"", ""DE""]",Trade receivables,Event ticketing,CUST-000409,MEDIUM
COMP-000030,Cong ty MTV Tan Phat Demo,DN8639087699,2010-08-09,5610,ADDR-002030,15324984100,false,"[""VN""]",Investment income,Event ticketing,CUST-001683,MEDIUM
COMP-000031,Cong ty CP Kim Long Mock,DN3122637855,2015-06-19,6419,ADDR-002031,2000000000,false,"[""VN""]",Investment income,Payroll disbursement,CUST-001649,LOW
COMP-000032,Cong ty TNHH Viet Hung Sandbox,DN4320616088,2011-09-17,5610,ADDR-002032,636181700,false,"[""VN""]",Business revenue,Operating expenses,CUST-001893,LOW
COMP-000033,Cong ty TNHH Dong A Sandbox,DN5159594821,2010-05-05,8299,ADDR-002033,3150271290,true,"[""VN"", ""SG"", ""CN"", ""US"", ""KR"", ""DE""]",Business revenue,General corporate,CUST-001205,LOW
COMP-000034,Doanh nghiep Tu nhan Nhat Quang Sandbox,DN3688024467,2022-11-11,6201,ADDR-002034,3341613205,false,"[""VN""]",Investment income,Trade settlement,CUST-001280,LOW
COMP-000035,Cong ty CP Dong A Sandbox,DN6678709378,2025-11-11,7020,ADDR-002035,200000000,true,"[""VN""]",Business revenue,Trade settlement,CUST-001547,HIGH
COMP-000036,Doanh nghiep Tu nhan Sao Mai Demo,DN4711343223,2023-05-10,4711,ADDR-002036,2257191056,true,"[""VN"", ""KR"", ""CY""]",Shareholder capital,Operating expenses,CUST-001228,HIGH
COMP-000037,Cong ty MTV Tay Nguyen Mock,DN4518779153,2018-04-01,4690,ADDR-002037,2918293982,true,"[""VN"", ""SG"", ""CN"", ""US"", ""JP"", ""CY""]",Shareholder capital,Trade settlement,CUST-001294,LOW
COMP-000038,Cong ty CP Dai Viet Test,DN5104119482,2015-10-21,4690,ADDR-002038,13144871941,false,"[""VN""]",Shareholder capital,General corporate,CUST-001552,MEDIUM
COMP-000039,Cong ty MTV Bao Tin Demo,DN8138282344,2020-03-04,5610,ADDR-002039,1330308108,true,"[""VN"", ""CY""]",Trade receivables,Event ticketing,CUST-000820,LOW
COMP-000040,Cong ty TNHH Dong A Sandbox,DN9496770580,2025-11-24,5610,ADDR-002040,234273502,true,"[""VN""]",Shareholder capital,Trade settlement,CUST-001861,MEDIUM
COMP-000041,Cong ty CP Tan Phat Demo,DN6294030245,2025-10-31,4711,ADDR-002041,322596779,true,"[""VN""]",Shareholder capital,Event ticketing,CUST-001558,MEDIUM
COMP-000042,Doanh nghiep Tu nhan Dong A Sandbox,DN1514532676,2016-07-25,6201,ADDR-002042,8923145196,false,"[""VN""]",Investment income,General corporate,CUST-001704,LOW
COMP-000043,Cong ty TNHH Minh Phat Sandbox,DN1097687577,2016-12-08,6202,ADDR-002043,2418185546,false,"[""VN""]",Investment income,Payroll disbursement,CUST-001782,LOW
COMP-000044,Cong ty TNHH Song Hong Demo,DN5076766763,2014-10-26,6419,ADDR-002044,1291119367,false,"[""VN""]",Investment income,Event ticketing,CUST-001417,LOW
COMP-000045,Cong ty CP Hoang Gia Ao,DN5019976647,2020-05-04,4711,ADDR-002045,2591112033,true,"[""VN"", ""DE""]",Trade receivables,Payroll disbursement,CUST-000440,LOW
COMP-000046,Cong ty CP Mekong Synthetic,DN2701258603,2010-10-15,7020,ADDR-002046,6275400003,true,"[""VN"", ""US"", ""KR"", ""CY""]",Business revenue,Operating expenses,CUST-001158,MEDIUM
COMP-000047,Doanh nghiep Tu nhan Song Hong Demo,DN5462755741,2022-10-25,6419,ADDR-002047,752839493,false,"[""VN""]",Investment income,Payroll disbursement,CUST-001186,LOW
COMP-000048,Cong ty TNHH Dong A Sandbox,DN3123126180,2016-04-01,8230,ADDR-002048,3663428454,false,"[""VN""]",Trade receivables,Trade settlement,CUST-001819,MEDIUM
COMP-000049,Cong ty CP Phuc Loc Mock,DN7279296550,2025-11-28,8230,ADDR-002049,179591621,true,"[""VN"", ""SG"", ""CN""]",Investment income,Trade settlement,CUST-000998,HIGH
COMP-000050,Cong ty MTV Nhat Quang Sandbox,DN4387166452,2011-01-20,7020,ADDR-002050,8000000000,true,"[""VN"", ""SG"", ""DE"", ""CY""]",Shareholder capital,General corporate,CUST-001837,LOW
